listentry,name,grade,listdate,amenddate,legacyuid,capturesca,location
1137009,BRIDGE OVER THE KENNET AND AVON CANAL,II,02/01/1956 12:00:00 AM,,32017,1:2500,"(51.39426, -2.33273)"
1137044,FORMER FONT AT SOUTH WEST CORNER OF PORCH OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32022,1:2500,"(51.39732, -2.32168)"
1137053,CHEST TOMB 20 YARDS TO WEST OF PORCH OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32024,1:2500,"(51.39732, -2.32201)"
1137059,GROUP OF 5 CHEST TOMBS TO EAST OF PORCH OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32026,1:2500,"(51.39733, -2.32158)"
1137073,CHEST TOMB 10 YARDS TO EAST OF SOUTH EAST CORNER OF SOUTH AISLE OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32028,1:2500,"(51.39734, -2.32131)"
1137102,GROUP OF 5 CHEST TOMBS TO NORTH EAST OF CHANCEL OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32031,1:2500,"(51.39755, -2.32126)"
1137160,HAMPTON HALL,II,10/19/1983 12:00:00 AM,,32040,1:2500,"(51.39106, -2.33848)"
1137313,"17, THE BATCH",II,02/01/1956 12:00:00 AM,,32056,1:2500,"(51.40597, -2.32063)"
1137316,SUNNYBANK COTTAGE,II,10/19/1983 12:00:00 AM,,32059,1:2500,"(51.40616, -2.3204)"
1137335,CHURCH COTTAGE,II,10/19/1983 12:00:00 AM,,32062,1:2500,"(51.40992, -2.32246)"
1137348,OUTBUILDING TO REAR OF BATHEASTON COTTAGE,II,10/19/1983 12:00:00 AM,,32064,1:2500,"(51.41005, -2.32269)"
1137356,FIVEWAYS HOUSE,II,10/19/1983 12:00:00 AM,,32066,1:2500,"(51.40548, -2.31658)"
1137402,"159 AND 161, HIGH STREET",II,10/19/1983 12:00:00 AM,,32071,1:2500,"(51.40488, -2.32319)"
1137407,"165, HIGH STREET",II,10/19/1983 12:00:00 AM,,32073,1:2500,"(51.40501, -2.32296)"
1137427,"216, HIGH STREET",II,10/19/1983 12:00:00 AM,,32080,1:2500,"(51.4045, -2.32346)"
1137570,"205-221, LONDON ROAD EAST",II,10/19/1983 12:00:00 AM,,32110,1:2500,"(51.40556, -2.31773)"
1137578,"233, LONDON ROAD EAST",II,10/19/1983 12:00:00 AM,,32112,1:2500,"(51.40524, -2.31627)"
1137583,"237, LONDON ROAD EAST",II,10/19/1983 12:00:00 AM,,32114,1:2500,"(51.40518, -2.31604)"
1137592,BOUNDARY MARKER ON (NGR ST 7844 6721),II,10/19/1983 12:00:00 AM,,32117,1:2500,"(51.40346, -2.31129)"
1137600,"THE CLERGYHOUSE
THE PENTHOUSE",II,10/19/1983 12:00:00 AM,,32119,1:2500,"(51.40658, -2.32016)"
1137622,DOLPHIN HOUSE,II,10/19/1983 12:00:00 AM,,32121,1:2500,"(51.40703, -2.32021)"
1137651,PINE HOUSE,II*,02/01/1956 12:00:00 AM,,32126,1:2500,"(51.40985, -2.32069)"
1137659,GREENSLEEVES,II,10/19/1983 12:00:00 AM,,32128,1:2500,"(51.40995, -2.32072)"
1137665,MIDDLESEX COTTAGE,II,10/19/1983 12:00:00 AM,,32133,1:2500,"(51.41138, -2.3201)"
1137700,"114, NORTHEND",II,10/19/1983 12:00:00 AM,,32138,1:2500,"(51.41354, -2.31794)"
1137709,POUND,II,10/19/1983 12:00:00 AM,,32140,1:1250,"(51.41478, -2.31687)"
1137795,"FRONT BOUNDARY WALLS AND GATEPIERS TO ROAD, OF EAGLE HOUSE",II,10/19/1983 12:00:00 AM,,32155,1:2500,"(51.41375, -2.31846)"
1137813,EAGLE HOUSE,II,10/19/1983 12:00:00 AM,,32157,1:2500,"(51.41378, -2.31837)"
1137824,"MAGNOLIA COTTAGE
THE HILL",II,10/19/1983 12:00:00 AM,,32159,1:2500,"(51.4161, -2.31728)"
1137829,BATHEASTON CHURCH OF ENGLAND VOLUNTARY CONTROLLED PRIMARY SCHOOL,II,10/19/1983 12:00:00 AM,,32162,1:2500,"(51.40914, -2.31882)"
1137886,SUNNYMEAD,II,10/19/1983 12:00:00 AM,,32165,1:2500,"(51.41309, -2.31483)"
1137903,"4, ASHLEY ROAD",II,10/19/1983 12:00:00 AM,,32169,1:2500,"(51.40056, -2.29991)"
1137921,"33, BATHFORD HILL",II,10/19/1983 12:00:00 AM,,32172,1:2500,"(51.40113, -2.30303)"
1137940,"18, BATHFORD HILL",II,10/19/1983 12:00:00 AM,,32174,1:2500,"(51.40101, -2.3052)"
1137954,GATEPIERS AND GATES TO WHITEHAVEN,II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32179,1:2500,"(51.40091, -2.30187)"
1137983,WHITEHAVEN,II*,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32181,1:2500,"(51.4011, -2.30228)"
1138045,BOUNDARY WALLS AND GARDEN SHED AT WARLEIGH POINT,II,10/19/1983 12:00:00 AM,,32186,1:2500,"(51.39522, -2.30538)"
1138181,BOUNDARY WALL AND GATEPIERS TO NO 24 CHURCH STREET,II,10/19/1983 12:00:00 AM,,32207,1:2500,"(51.39913, -2.30523)"
1138252,"CHEST TOMB 5 YARDS TO NORTH WEST OF CHANCEL, PARISH CHURCH OF ST SWITHUN'S",II,10/19/1983 12:00:00 AM,,32218,1:2500,"(51.39818, -2.30635)"
1138272,SECTION OF CHURCHYARD WALL AT EAST END OF CHURCHYARD OF ST SWITHUN'S WITH BUILT IN FRAGMENTS AND TWO SEATS,II,10/19/1983 12:00:00 AM,,32220,1:2500,"(51.39778, -2.30462)"
1138288,"1, DOVERS LANE",II,10/19/1983 12:00:00 AM,,32223,1:2500,"(51.40036, -2.30136)"
1138297,ROCK HOUSE,II*,02/01/1956 12:00:00 AM,,32225,1:2500,"(51.40068, -2.30186)"
1138344,"61, HIGH STREET",II,10/19/1983 12:00:00 AM,,32230,1:2500,"(51.4004, -2.29932)"
1138353,GLENAVON,II,10/19/1983 12:00:00 AM,,32232,1:2500,"(51.40027, -2.29899)"
1146317,"50, HIGH STREET",II,10/19/1983 12:00:00 AM,,32237,1:2500,"(51.40039, -2.30205)"
1146328,"52, HIGH STREET",II,10/19/1983 12:00:00 AM,,32239,1:2500,"(51.40047, -2.30191)"
1146337,"82, HIGH STREET",II,10/19/1983 12:00:00 AM,,32242,1:2500,"(51.39988, -2.29842)"
1146391,"WATER TROUGH
WATER TROUGH AT NORTH WEST END OF PUMP LANE",II,10/19/1983 12:00:00 AM,,32258,1:2500,"(51.39917, -2.3042)"
1146460,CHURCH FARMHOUSE,II,02/01/1956 12:00:00 AM,,32260,1:2500,"(51.39818, -2.30403)"
1146485,"BARN, STABLE, SHELTER SHED AND WAGON SHED TO CHURCH FARMHOUSE",II,10/19/1983 12:00:00 AM,,32261,1:2500,"(51.39798, -2.30436)"
1156410,THREE SHIRE STONES AT NGR ST 7960 7001,II,03/03/1961 12:00:00 AM,,34463,1:2500,"(51.42881, -2.29464)"
1157851,"ICE HOUSE, 5 YARDS TO NORTH OF THE COACH HOUSE",II,10/19/1983 12:00:00 AM,,32267,1:2500,"(51.41561, -2.28385)"
1157865,SHOCKERWICK HOUSE,I,02/01/1956 12:00:00 AM,,32269,1:2500,"(51.41619, -2.28193)"
1157890,BARN AND GRANARY OPPOSITE LOWER SHOCKERWICK FARMHOUSE,II,10/19/1983 12:00:00 AM,,32272,1:2500,"(51.41596, -2.28626)"
1157904,WARLEIGH MANOR SCHOOL,II*,02/01/1956 12:00:00 AM,,32274,1:2500,"(51.38203, -2.30115)"
1157948,"HANOVER SQUARE EAST, HANOVER SQUARE SOUTH AND HANOVER SQUARE WEST",II,10/19/1983 12:00:00 AM,,32277,1:2500,"(51.37695, -2.29646)"
1157995,"THE OLD PARSONAGE, INCLUDING GATEPIERS AND GATE TO ROAD, TO EAST",II,10/19/1983 12:00:00 AM,,32282,1:1250,"(51.34004, -2.30362)"
1158028,MANORTHORPE AND GARDENTHORPE,II*,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32284,1:2500,"(51.33981, -2.30353)"
1158054,WOOD VIEW,II,10/19/1983 12:00:00 AM,,32289,1:2500,"(51.33947, -2.3038)"
1158194,GARDEN WALL TO SOUTH EAST OF TOUCHSTONE,II,10/19/1983 12:00:00 AM,,32304,1:2500,"(51.33893, -2.30226)"
1158309,"BRAE COTTAGE
FARTHINGS COTTAGE",II,10/19/1983 12:00:00 AM,,32320,1:2500,"(51.33527, -2.31236)"
1158320,THE HERMITAGE,II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32323,1:2500,"(51.33634, -2.31077)"
1158324,"SHARPSTONE COTTAGE, INCLUDING SECTION OF GARDEN WALL TO REAR OF HOUSE",II,10/19/1983 12:00:00 AM,,32325,1:2500,"(51.33764, -2.30886)"
1158341,"RAILINGS, GATEPIERS AND GATES OPPOSITE THE HILL",II,10/19/1983 12:00:00 AM,,32327,1:2500,"(51.33514, -2.30181)"
1158368,FRESHFORD BRIDGE,II,02/01/1956 12:00:00 AM,,32332,1:2500,"(51.33831, -2.30144)"
1158385,"BARN, 20 YARDS TO WEST OF PEIPARDS FARMHOUSE",II,10/19/1983 12:00:00 AM,,32334,1:2500,"(51.3407, -2.32196)"
1158393,AMES COTTAGE,II,10/19/1983 12:00:00 AM,,32337,1:2500,"(51.34025, -2.30479)"
1158529,MANOR HOUSE,II*,02/01/1956 12:00:00 AM,,32354,1:2500,"(51.3233, -2.37403)"
1158539,ARMAGH,II,10/19/1983 12:00:00 AM,,32357,1:2500,"(51.32311, -2.37457)"
1158552,"WELLOW HOUSE, INCLUDING BOUNDARY WALL, GATE AND TWO PAIRS OF GATEPIERS TO ROAD",II*,02/01/1956 12:00:00 AM,,32361,1:2500,"(51.32242, -2.37635)"
1158562,"THE RECTORY, EAST AND WEST WINGS",II,10/19/1983 12:00:00 AM,,32364,1:2500,"(51.32379, -2.37096)"
1158579,CHURCH FARMHOUSE,II,02/01/1956 12:00:00 AM,,32366,1:2500,"(51.32373, -2.37192)"
1158583,"3, HIGH STREET",II,10/19/1983 12:00:00 AM,,32368,1:2500,"(51.32312, -2.37396)"
1158602,WELLOW FARMHOUSE,II,10/19/1983 12:00:00 AM,,32371,1:2500,"(51.32207, -2.37626)"
1158610,BOX BUSH COTTAGE,II,10/19/1983 12:00:00 AM,,32373,1:2500,"(51.32132, -2.37885)"
1158620,CANTEEN HOUSE,II,10/19/1983 12:00:00 AM,,32375,1:2500,"(51.32092, -2.37853)"
1158634,HONEYBATCH,II,10/19/1983 12:00:00 AM,,32380,1:2500,"(51.32274, -2.3744)"
1158655,"3 AND 4, THE SQUARE (See details for further address information)",II,10/19/1983 12:00:00 AM,,32385,1:2500,"(51.32282, -2.37471)"
1158696,LOWER TWINHOE FARMHOUSE,II,10/19/1983 12:00:00 AM,,32392,1:2500,"(51.33545, -2.35009)"
1158728,STABLE AND STORE 10 YARDS TO NORTH WEST OF HOME FARMHOUSE,II,10/19/1983 12:00:00 AM,,32397,1:2500,"(51.32245, -2.40515)"
1158735,BOUNDARY POST AT NGR ST 7158 5932,II,10/19/1983 12:00:00 AM,10/19/1993 12:00:00 AM,32399,1:2500,"(51.33234, -2.40946)"
1158753,"FARM BUILDING, 100 YARDS TO SOUTHWEST OF AQUEDUCT OVER CAM BROOK",II,10/19/1983 12:00:00 AM,,32407,1:2500,"(51.34265, -2.34847)"
1158774,"NORTH ENTRANCE TO WELLLOW TUNNEL, 100 YARDS TO NORTH OF WHITE BAINES, BULL'S HILL",II,10/19/1983 12:00:00 AM,,32411,1:2500,"(51.32439, -2.37071)"
1194767,GUYS FARM,II,02/26/1987 12:00:00 AM,,350200,1:2500,"(51.37057, -2.54954)"
1214254,CHARLCOMBE MANOR,II,08/14/1984 12:00:00 AM,,399024,1:2500,"(51.40209, -2.36591)"
1214255,CHURCH OF ST MARY,II*,02/01/1956 12:00:00 AM,,399025,1:2500,"(51.40458, -2.36289)"
1214256,CHURCH OF ALL SAINTS,I,02/01/1956 12:00:00 AM,,399026,1:2500,"(51.41529, -2.36121)"
1214257,MONUMENT TO HOOPER FAMILY IN CHURCHYARD TO WEST OF ALL SAINTS' CHURCH,II,08/14/1984 12:00:00 AM,,399027,1:2500,"(51.41528, -2.36144)"
1214259,"MONUMENT TO GUNNING FAMILY,IN CHURCHYARD TO NORTH WEST OF ALL SAINTS' CHURCH",II,08/14/1984 12:00:00 AM,,399029,1:2500,"(51.41535, -2.36143)"
1214260,"MONUMENT TO ADMIRAL PUGET,IN CHURCHYARD TO NORTH OF ALL SAINTS' CHURCH",II,08/14/1984 12:00:00 AM,,399031,1:2500,"(51.41538, -2.36117)"
1214261,MANOR FARMHOUSE AND ADJOINING ANNEXE TO LEFT,II,02/01/1956 12:00:00 AM,,399033,1:2500,"(51.41557, -2.36163)"
1214262,CHURCH OF ST MARY MAGDALENE,I,02/01/1956 12:00:00 AM,,399035,1:2500,"(51.42424, -2.37522)"
1214263,COURT FARMHOUSE,II*,02/01/1956 12:00:00 AM,,399040,1:2500,"(51.42428, -2.37597)"
1214264,UPPER FARMHOUSE,II,08/14/1984 12:00:00 AM,,399042,1:2500,"(51.4222, -2.391)"
1214355,"BARN,10 YARDS TO REAR OF MANOR FARMHOUSE",II,08/14/1984 12:00:00 AM,,399034,1:2500,"(51.41586, -2.36134)"
